,LSTM,Data,Closing
0,"[213.7540625, 208.1738508605957, 201.573624458313, 196.71094569206238, 196.41454943656922, 198.2046330833435, 200.1754687690735, 201.72540172576905, 202.9594829940796, 204.04531272888184, 205.06811889648438, 206.05841526031494, 207.04714855194092, 207.94082530975342, 208.70940288543702, 209.32560047149659, 208.44934829711914, 207.31803974151612, 206.0827682876587, 205.5390900039673, 206.02684101104737, 206.5427006149292, 207.09139713287354, 207.67620738983155, 209.198323097229, 211.11327346801758, 213.0188101196289, 214.9652670288086, 216.9794271850586, 218.8508757019043, 219.0700682067871, 219.24852737426758, 219.42582305908203, 219.60534271240235, 219.78749069213868, 219.97264465332032, 220.16115173339844, 220.35332473754883, 220.55690368652344, 220.80957397460938, 221.07944473266602, 221.35412963867188, 221.6343572998047, 221.9206121826172, 222.21138175964356, 222.50669464111328, 222.80655082702637, 223.11095031738282, 223.41986068725586, 223.73190101623535]","[213.04, 208.43, 204.02, 193.34, 197.0, 199.04, 203.43, 200.99, 200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03]",230.09
1,"[209.1677473449707, 201.7256725692749, 195.43798049926758, 195.85852440834046, 198.28800424575806, 200.37802347183228, 201.86814197540284, 203.09133419036866, 204.21114715576172, 205.2621820831299, 206.22337230682373, 207.05195697784424, 207.6994732284546, 208.11942943572998, 208.2701748275757, 207.82784351348877, 207.13504680633545, 206.2069319152832, 205.22295269012452, 205.7206781768799, 206.21702465057373, 206.7179821395874, 207.23011478424073, 208.8919142150879, 210.85560592651368, 212.9159391784668, 215.07147201538086, 217.32373413085938, 219.6547850036621, 220.11956008911133, 219.98386940002442, 219.84821685791016, 219.71389373779297, 219.58263572692871, 219.45550521850586, 219.33375915527344, 219.21849426269532, 219.40147575378418, 219.8755453491211, 220.37847122192383, 220.9239786529541, 221.51982482910157, 222.14795097351075, 222.81019004821778, 223.50822052001953, 224.24049362182618, 225.00750144958496, 225.80815490722657, 226.63957580566407, 227.44370635986328]","[208.43, 204.02, 193.34, 197.0, 199.04, 203.43, 200.99, 200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09]",236.21
2,"[204.1520412826538, 193.37726384043694, 196.98353156089783, 199.38585933685303, 200.68774446487427, 201.62768634796143, 202.5455959701538, 203.56132778167725, 204.69099506378174, 205.89102348327637, 207.10845836639405, 208.18463596343994, 208.9890249633789, 209.3800733947754, 208.46379932403565, 207.02873310089112, 205.54391654968262, 204.38187107086182, 205.12143310546875, 205.9375275039673, 206.84713443756104, 207.88852199554444, 209.28695568084717, 210.92117294311524, 212.87498649597168, 215.0290106201172, 217.39415534973145, 219.8880136871338, 220.09238037109375, 219.75265296936035, 219.42869361877442, 219.11924156188965, 218.8118475341797, 218.51141342163086, 218.23144706726075, 217.97438606262207, 217.8814218902588, 218.40285285949707, 218.94612297058106, 219.50332626342774, 220.11073860168457, 220.91314109802246, 221.86193260192871, 222.94854530334473, 224.10496315002442, 225.32529624938965, 226.61061080932618, 227.96171173095703, 229.3790968322754, 230.86009963989258]","[204.02, 193.34, 197.0, 199.04, 203.43, 200.99, 200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09, 236.21]",235.87
3,"[193.05485218405724, 197.06375631332398, 199.7438429260254, 201.03945335388184, 201.68818172454834, 202.2398556137085, 202.98729499816895, 204.0430782699585, 205.40155109405518, 207.08280261993409, 208.7022169494629, 210.00986083984375, 210.79677947998047, 209.20156749725342, 207.24726566314698, 205.53958782196045, 204.64960369110108, 205.4623487854004, 206.3900192642212, 207.45747074127198, 208.69225582122803, 210.1309336090088, 211.9208620452881, 213.96437629699707, 216.2254694366455, 218.72521766662598, 221.16887840270996, 221.23494514465332, 220.964849319458, 220.7101572418213, 220.47154411315918, 220.2495859527588, 220.0447519683838, 219.8575075531006, 219.6883180999756, 219.70413764953614, 220.1773146057129, 220.70946678161621, 221.29376014709473, 221.9331625366211, 222.63047203063965, 223.38887008666993, 224.40292533874512, 225.81525787353516, 227.32210906982422, 228.9238508605957, 230.62165435791016, 232.41367706298828, 234.28074249267578, 235.93213256835938]","[193.34, 197.0, 199.04, 203.43, 200.99, 200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09, 236.21, 235.87]",235.32
4,"[196.9680891185999, 200.46929168701172, 201.37046003341675, 201.86187887191772, 202.66830015182495, 203.87543439865112, 205.38520526885986, 206.99923419952393, 208.48184204101562, 209.62775993347168, 210.2934274673462, 210.38879203796387, 209.52882480621338, 208.2930850982666, 206.7752447128296, 205.15127658843994, 205.9938440322876, 206.9077959060669, 207.90493965148926, 209.02024173736572, 210.36188507080078, 211.98593711853027, 213.8686752319336, 216.08255767822266, 218.7210350036621, 221.8152847290039, 221.94122695922852, 221.6083526611328, 221.2888526916504, 220.9843349456787, 220.69652557373047, 220.42729949951172, 220.1789436340332, 219.95408058166504, 219.75398445129395, 219.83002090454102, 220.27892684936523, 220.84887313842773, 221.53661918640137, 222.3266372680664, 223.23119163513184, 224.26434707641602, 225.46400451660156, 226.83738327026367, 228.38088035583496, 230.10678100585938, 232.0053482055664, 234.01946258544922, 235.28832244873047, 235.6149139404297]","[197.0, 199.04, 203.43, 200.99, 200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09, 236.21, 235.87, 235.32]",234.37
5,"[200.43556837081908, 201.6858933353424, 202.32653740882873, 202.85565833091735, 203.40601543426513, 203.94631818771362, 205.05737117767333, 206.9663401031494, 209.27120594024657, 211.1027861022949, 211.56476024627685, 209.75892166137695, 206.71720746994018, 205.75051025390624, 205.07344678878783, 205.74456790924071, 206.5056457901001, 207.36788562774657, 208.36159519195556, 209.75459197998046, 211.51838306427, 213.5117092514038, 215.75695899963378, 218.28733543395995, 221.0907526397705, 221.04707054138183, 220.67351249694823, 220.32476905822753, 220.00172523498534, 219.70531944274902, 219.43644813537597, 219.1961050415039, 218.9854574584961, 218.80600456237792, 218.9430590057373, 219.43802742004394, 220.02531532287597, 220.69666770935058, 221.46111206054687, 222.32839683532714, 223.30902961730956, 224.41388038635253, 225.65890602111816, 227.0835848236084, 228.66673377990722, 230.40158561706542, 232.2924185180664, 234.01539901733398, 234.97840408325195, 235.24986938476562]","[199.04, 203.43, 200.99, 200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09, 236.21, 235.87, 235.32, 234.37]",235.28
6,"[203.39458177566527, 201.7244030046463, 202.39087865829467, 202.81375978469848, 203.26249335289, 204.3059654045105, 206.37009237289428, 208.86814735412597, 210.57346771240233, 210.80904720306395, 208.79521320343017, 206.52543781280517, 205.0871581840515, 205.15463731765746, 205.71760271072387, 206.3949670600891, 207.20630739212035, 208.20805643081664, 209.53549812316894, 211.17287300109862, 213.16728828430175, 215.54032180786132, 218.23749015808104, 220.83443305969237, 220.69201705932616, 220.53134391784667, 220.3769841003418, 220.23337409973144, 220.10597274780272, 220.00137184143065, 219.92743919372558, 219.8954167175293, 219.92211959838866, 220.01261184692382, 220.18151901245116, 220.44557807922362, 220.82377288818358, 221.3375210571289, 222.01919219970702, 222.913141708374, 224.01913688659667, 225.36274002075194, 226.96750114440917, 228.8526806640625, 231.03052375793456, 233.47970245361327, 234.96601913452147, 235.3045391845703, 235.46912048339843, 235.63375518798827]","[203.43, 200.99, 200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09, 236.21, 235.87, 235.32, 234.37, 235.28]",236.41
7,"[201.30073545455932, 202.2738642501831, 202.75977108955382, 203.27188680648803, 204.3863937664032, 206.7335719871521, 209.5093388366699, 211.40251014709472, 211.5527252960205, 209.3817448425293, 206.6772141265869, 205.1537446784973, 205.02855012893676, 205.75454805374144, 206.49146268844603, 207.25205371856688, 208.096886138916, 209.60018585205077, 211.43426082611083, 213.47162578582763, 215.73482940673827, 218.33090255737304, 221.19974182128905, 221.23588607788085, 220.88685653686522, 220.54299209594726, 220.20660827636718, 219.88027618408202, 219.56448028564452, 219.26634643554686, 219.01341674804686, 219.17453811645507, 219.45961807250976, 219.81315277099608, 220.24759338378905, 220.77727172851561, 221.418570022583, 222.19001815795897, 223.1388020324707, 224.30749557495116, 225.6627392578125, 227.22319458007811, 229.00900314331054, 231.03127716064452, 233.29444549560546, 234.84590576171874, 235.03842971801757, 235.19932220458983, 235.36161468505858, 235.52360198974608]","[200.99, 200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09, 236.21, 235.87, 235.32, 234.37, 235.28, 236.41]",240.51
8,"[202.40159736156463, 202.76619861602782, 203.6871018218994, 205.20058725357055, 207.08795831680297, 208.81501625061034, 209.79712532043456, 209.73307083129882, 208.4315013694763, 206.836397151947, 205.33187005996703, 205.10967348098754, 205.55051229476928, 206.0687813568115, 206.66847322463988, 207.40961692810058, 208.99723861694335, 210.9302420425415, 213.08016441345214, 215.4225458908081, 217.93851516723632, 220.60844085693358, 221.00524375915526, 220.6389241027832, 220.30595062255858, 220.00652740478515, 219.7407192993164, 219.50853775024413, 219.3098816680908, 219.14492462158202, 219.23654983520507, 219.46015213012694, 219.73167655944823, 220.11219833374022, 220.8658757019043, 221.70727966308593, 222.6421971130371, 223.73551605224608, 224.974384765625, 226.32926605224608, 227.80489013671874, 229.3978409576416, 231.1109585571289, 232.94193313598632, 234.29947708129882, 235.0506214904785, 235.76299331665038, 236.46677444458007, 237.1770329284668, 237.87043807983397]","[200.48, 208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09, 236.21, 235.87, 235.32, 234.37, 235.28, 236.41, 240.51]",239.96
9,"[209.21467517852784, 202.43994425773622, 202.15663843393327, 205.58707021713258, 209.57104419708253, 211.6166441345215, 211.43279289245606, 209.4430987739563, 206.03821062088014, 205.04337262153626, 204.99931096076966, 205.77742694854737, 206.53408264160157, 207.29179023742677, 208.12347625732423, 209.49745868682862, 211.1287519836426, 213.03030990600587, 215.25646614074708, 217.88037132263185, 220.91729377746583, 221.0776045227051, 220.66315483093263, 220.28058265686036, 219.92789863586427, 219.6035196685791, 219.30632232666017, 219.0356714630127, 218.79145072937013, 218.5968172454834, 218.9251100921631, 219.31696342468263, 219.78090690612794, 220.32642768859864, 220.96403526306153, 221.7052156829834, 222.59926628112794, 223.70278190612794, 224.94852279663087, 226.345525970459, 227.9027826690674, 229.6277296447754, 231.52587532043458, 233.49171089172364, 234.4481413269043, 235.22561477661134, 236.03505920410157, 236.87630676269532, 237.7476141357422, 238.58281539916993]","[208.97, 202.75, 201.74, 206.5, 210.35, 210.36, 212.64, 212.46, 202.64, 206.49, 204.16, 205.53, 209.01, 208.74, 205.7, 209.19, 213.28, 213.26, 214.17, 216.7, 223.59, 223.085, 218.75, 219.9, 220.7, 222.77, 220.96, 217.73, 218.72, 217.68, 221.03, 219.89, 218.82, 223.97, 224.59, 218.96, 220.82, 227.01, 227.06, 224.4, 227.03, 230.09, 236.21, 235.87, 235.32, 234.37, 235.28, 236.41, 240.51, 239.96]",243.18
